record_id,original_text,parent_family_id,intent_id,classification_status
"MQU-00239","social media marketing strategy for small business","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00240","b2b social media marketing strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00257","business operating system","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00262","social media marketing strategy","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00268","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00269","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00270","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00271","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00272","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00273","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00274","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00275","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00276","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00277","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00278","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00279","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00280","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00281","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00282","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00283","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00284","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00285","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00286","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00287","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00288","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00289","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00290","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00291","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00292","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00293","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00294","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00295","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00296","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00297","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00298","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00299","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00300","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00301","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00302","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00303","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00304","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00305","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00306","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00307","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00308","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00309","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00310","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00311","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00312","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00313","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00314","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00315","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00316","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00317","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00318","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00319","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00320","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00321","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00322","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00323","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00324","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00325","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00326","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00327","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00328","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00329","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00330","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00331","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00332","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00333","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00334","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00335","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00336","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00337","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00338","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00339","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00340","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00341","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00342","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00343","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00344","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00345","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00346","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00347","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00348","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00349","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00350","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00351","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00352","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00353","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00354","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00355","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00356","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00357","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00358","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00359","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00360","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00361","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00362","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00363","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00364","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00365","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00366","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00367","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00368","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00369","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00370","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00371","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00372","AI Search Optimization & GEO","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00373","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00374","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00375","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00376","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00377","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00391","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00392","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00393","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00394","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00395","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00408","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00409","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00410","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00411","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00412","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00426","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00427","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00428","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00429","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00430","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00443","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00444","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00445","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00446","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00447","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00645","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00646","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00647","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00648","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00649","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00663","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00664","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00665","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00666","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00667","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00681","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00682","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00683","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00684","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00685","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00698","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00699","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00700","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00701","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00702","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00705","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00706","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00707","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00708","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00709","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00727","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00728","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00729","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00730","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00731","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00784","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00785","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00786","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00787","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00788","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00802","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00803","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00804","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00805","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00806","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00819","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00820","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00821","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00822","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00823","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00837","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00838","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00839","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00840","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00841","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00854","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00855","Language:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00856","Country:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00857","Searched on (dd/mm/yyyy):","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00858","Search Term","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00859","Landing Page & Lead Generation Design","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00860","Landing Page & Lead Generation Design","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00861","Landing Page & Lead Generation Design","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00862","Landing Page & Lead Generation Design","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00863","Landing Page & Lead Generation Design","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
"MQU-00864","Search Term:","FAM-12","INTENT-12-VALUEPROP","REVIEW_REQUIRED"
