record_id,original_text,assigned_intent,competing_intent,hard_negative_reason
"MQU-01106","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01107","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01108","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01109","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01115","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01116","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01117","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01118","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01119","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01120","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01121","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01122","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01123","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01124","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01125","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01126","SEO-Ready Website Engineering","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01505","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01506","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01507","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01508","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01509","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01510","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01511","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01512","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01513","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01514","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01515","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01516","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01517","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01523","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01524","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01525","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01526","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01527","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01528","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01529","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01530","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01531","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01532","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01533","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
"MQU-01534","Website Redesign & SEO-Safe Rebuild","INTENT-01-SEO","INTENT-02-WEB","Contains both SEO and Website keywords; tests precedence logic DEC-003."
