record_id,query_text,status,routing_outcome
"MQU-00341","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00342","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00343","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00344","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00345","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00346","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00347","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00348","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00349","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00350","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00351","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00352","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00353","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00354","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00355","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00356","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00357","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00358","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00359","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00360","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00361","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00362","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00363","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00364","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00365","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00366","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00367","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00368","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00369","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00370","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00371","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00372","AI Search Optimization & GEO","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00373","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00374","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00375","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00376","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00377","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00391","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00392","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00393","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00394","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00395","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00408","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00409","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00410","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00411","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00412","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00426","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00427","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00428","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00429","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00430","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00443","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00444","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00445","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00446","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00447","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00645","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00646","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00647","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00648","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00649","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00663","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00664","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00665","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00666","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00667","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00681","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00682","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00683","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00684","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00685","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00698","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00699","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00700","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00701","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00702","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00705","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00706","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00707","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00708","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00709","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00727","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00728","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00729","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00730","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00731","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00784","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00785","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00786","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00787","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00788","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00802","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00803","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00804","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00805","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00806","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00819","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00820","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00821","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00822","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00823","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00837","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00838","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00839","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00840","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00841","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00854","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00855","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00856","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00857","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00858","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00859","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00860","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00861","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00862","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00863","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00864","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00865","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00866","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00867","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00868","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00869","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00870","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00871","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00872","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00873","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00874","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00875","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00876","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00877","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00878","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00879","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00880","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00881","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00882","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00883","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00884","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00885","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00886","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00887","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00888","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00889","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00890","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00891","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00892","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00893","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00894","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00895","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00896","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00897","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00898","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00899","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00900","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00901","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00902","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00903","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00904","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00905","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00906","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00907","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00908","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00909","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00910","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00911","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00912","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00913","Landing Page & Lead Generation Design","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00914","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00915","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00916","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00917","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00918","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00932","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00933","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00934","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00935","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00936","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00949","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00950","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00951","Country:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00952","Searched on (dd/mm/yyyy):","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00953","Search Term","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00967","Search Term:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00968","Language:","VERIFIED","INTENT-11-MULTI Clarification"
"MQU-00969","Country:","VERIFIED","INTENT-11-MULTI Clarification"
