review_id,question_id,original_text,candidate_family,candidate_flow,competing_options,evidence_source,why_ambiguous,confidence,recommended_decision
"FRQ-022","MQU-00050","Can appointment forms be integrated?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-023","MQU-00051","Why are our Google/Meta ad leads expensive?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-024","MQU-00052","Do you handle ad spend management?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-025","MQU-00053","How do we double conversion rates from existing traffic?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-026","MQU-00054","What results can we expect?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-027","MQU-00055","Is the website built SEO-ready from day one?","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-028","MQU-00058","Do you guarantee #1 rankings?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-029","MQU-00059","How do we get featured in ChatGPT and Perplexity recommendations?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-030","MQU-00060","What is GEO?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-031","MQU-00061","How do local clinics attract nearby patients via search?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-032","MQU-00062","How fast do local search rankings improve?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-033","MQU-00063","Do you offer social media content design?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-034","MQU-00064","Does this include ad spend management?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-035","MQU-00066","Do we need expensive enterprise licenses?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-036","MQU-00068","How fast are WhatsApp lead alerts delivered?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","canonicalRegistry.ts (n8n_DataTable)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-037","MQU-00069","कीवर्ड","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-038","MQU-00082","AI adoption strategy","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-039","MQU-00097","digital transformation advisor","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-040","MQU-00100","web design agency","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-041","MQU-00101","web design agency india","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-042","MQU-00115","graphic design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-043","MQU-00116","unlimited graphic design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-044","MQU-00117","freelance graphic design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-045","MQU-00118","best unlimited graphic design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-046","MQU-00119","custom logo design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-047","MQU-00120","magazine design service","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-048","MQU-00121","graphic design service in india","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-049","MQU-00123","Canva magazine template","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-050","MQU-00124","editable magazine template free download","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-051","MQU-00125","digital magazine template free","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","DigiXPro-Keyword-Master-List-Site-Architecture.md (DigiXPro-Keyword-Master-List-Site-Architecture.md)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-052","MQU-00126","I need independent technology advisory, vendor evaluation, or fractional CTO leadership before committing budget to a platform.","FAM-05: Pricing, Investment & Retainer Inquiry","FLOW-06: Service Scope / Pricing Clarification","FLOW-06 (Pricing Clarification) vs. FLOW-07 (Budget Qualification / Quote)","SalesConcierge.tsx (SalesConcierge.tsx)","Commercial pricing request vs custom scope quotation requirement.",0.95,"Approve mapping to FLOW-06"
"FRQ-053","MQU-00127","I am evaluating a custom website design, website redesign, or SEO-ready web engineering project.","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","SalesConcierge.tsx (SalesConcierge.tsx)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-054","MQU-00129","I would like to discuss DigiXPro Systems Audit recommendations or inspect verified production evidence and case studies.","FAM-06: Systems Audit & Diagnostic Review Intake","FLOW-04: Diagnostic Systems Review Intake (Audit)","FLOW-04 (Diagnostic Audit Intake) vs. FLOW-02 (General Speed FAQ)","SalesConcierge.tsx (SalesConcierge.tsx)","System audit request requires structured intake vs general technical inquiry.",0.95,"Approve mapping to FLOW-04"
"FRQ-055","MQU-00130","aapki fee kitni hai?","FAM-05: Pricing, Investment & Retainer Inquiry","FLOW-06: Service Scope / Pricing Clarification","FLOW-06 (Pricing Clarification) vs. FLOW-07 (Budget Qualification / Quote)","Tier 0 Intent Router (n8n_DataTable)","Commercial pricing request vs custom scope quotation requirement.",0.95,"Approve mapping to FLOW-06"
"FRQ-056","MQU-00131","pricing kitni hai per month?","FAM-05: Pricing, Investment & Retainer Inquiry","FLOW-06: Service Scope / Pricing Clarification","FLOW-06 (Pricing Clarification) vs. FLOW-07 (Budget Qualification / Quote)","Tier 0 Intent Router (n8n_DataTable)","Commercial pricing request vs custom scope quotation requirement.",0.95,"Approve mapping to FLOW-06"
"FRQ-057","MQU-00132","how much does it cost?","FAM-05: Pricing, Investment & Retainer Inquiry","FLOW-06: Service Scope / Pricing Clarification","FLOW-06 (Pricing Clarification) vs. FLOW-07 (Budget Qualification / Quote)","Tier 0 Intent Router (n8n_DataTable)","Commercial pricing request vs custom scope quotation requirement.",0.95,"Approve mapping to FLOW-06"
"FRQ-058","MQU-00138","technical SEO chahiye website ke liye","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","Tier 0 Intent Router (n8n_DataTable)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-059","MQU-00144","seo website design services","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-060","MQU-00157","social media strategy consultant","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-061","MQU-00176","social media marketing strategy for small business","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-062","MQU-00177","b2b social media marketing strategy","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-063","MQU-00194","business operating system","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-064","MQU-00199","social media marketing strategy","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","position-tracking-report-2026-08-24.csv (position-tracking-report-2026-08-24.csv)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-065","MQU-00268","Search Term:","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-066","MQU-00269","Language:","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-067","MQU-00270","Country:","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-068","MQU-00271","Searched on (dd/mm/yyyy):","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-069","MQU-00272","Search Term","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-070","MQU-00273","AI Search Optimization & GEO","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-ai search optimization  geo-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-071","MQU-00859","Landing Page & Lead Generation Design","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-landing page  lead generation design-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-072","MQU-01097","SEO-Ready Website Engineering","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-seo-ready website engineering-en-us-28-08-2026.xlsx)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-073","MQU-01195","Social Media Management & Content Systems","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-social media management  content systems-en-us-28-08-2026.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-074","MQU-01505","Website Redesign & SEO-Safe Rebuild","FAM-01: SEO & Search Visibility Inquiry","FLOW-06: Service Scope / Pricing Clarification","Approve Candidate Family vs. Split into Specific Sub-intent","Public Search / Discovery (all categories-website redesign  seo-safe rebuild-en-us-28-08-2026.xlsx)","SEO inquiry containing generic website wording.",0.9,"Approve mapping to FLOW-06"
"FRQ-075","MQU-02113","What does an IT strategy consultant do?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-076","MQU-02114","What is the salary of a strategy consultant?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-077","MQU-02115","Is IT hard to be an IT consultant?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-078","MQU-02116","Are IT consultants well paid?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-079","MQU-02117","Do you need a degree to be an IT consultant?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-080","MQU-02119","Is Strategy& better than McKinsey?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
"FRQ-081","MQU-02120","Is Strategy& a prestigious firm?","FAM-12: General Value Proposition & Capabilities","FLOW-02: Value Proposition Explanation","Approve Candidate Family vs. Split into Specific Sub-intent","Google PAA (paas_export_it consulting & technology strategy.xlsx)","General inquiry matched to Value Proposition flow.",0.7,"Approve mapping to FLOW-02"
