question_id,original_text,normalized_text,source_file,source_platform,source_sheet,seed_topic,evidence_type,real_vs_synthetic,search_volume,frequency,competition,language,pii_removed,duplicate_status,duplicate_group_id,provenance_id,notes
"MQU-00013","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","Baseline Inventory","sales-chat","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",true,"EXACT_DUPLICATE","MQU-DUP-0004","QI-CLN-0013","Extracted from lead diagnostic audit brief"
"MQU-00014","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","Baseline Inventory","sales-chat","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",true,"EXACT_DUPLICATE","MQU-DUP-0004","QI-CLN-0014","Extracted from lead diagnostic audit brief"
"MQU-00015","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","Baseline Inventory","sales-chat","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",true,"EXACT_DUPLICATE","MQU-DUP-0004","QI-CLN-0015","Extracted from lead diagnostic audit brief"
"MQU-00016","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","Baseline Inventory","sales-chat","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",true,"EXACT_DUPLICATE","MQU-DUP-0004","QI-CLN-0016","Extracted from lead diagnostic audit brief"
"MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro systems verification (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","Baseline Inventory","audit-brief","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-006","QI-CLN-0017","Extracted from lead diagnostic audit brief"
"MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro enterprise final test (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","Baseline Inventory","audit-brief","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-006","QI-CLN-0018","Extracted from lead diagnostic audit brief"
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro zero pricing enterprise (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","Baseline Inventory","audit-brief","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-007","QI-CLN-0019","Extracted from lead diagnostic audit brief"
"MQU-00020","Audit evaluation for Digixpro (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","Baseline Inventory","audit-brief","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-008","QI-CLN-0020","Extracted from lead diagnostic audit brief"
"MQU-00021","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0021","Extracted from lead diagnostic audit brief"
"MQU-00022","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0022","Extracted from lead diagnostic audit brief"
"MQU-00023","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0023","Extracted from lead diagnostic audit brief"
"MQU-00024","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0024","Extracted from lead diagnostic audit brief"
"MQU-00025","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0025","Extracted from lead diagnostic audit brief"
"MQU-00026","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0026","Extracted from lead diagnostic audit brief"
"MQU-00027","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0027","Extracted from lead diagnostic audit brief"
"MQU-00028","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0028","Extracted from lead diagnostic audit brief"
"MQU-00029","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0029","Extracted from lead diagnostic audit brief"
"MQU-00030","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","Baseline Inventory","audit-lead","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED",,,,"ENGLISH",false,"EXACT_DUPLICATE","MQU-DUP-0005","QI-CLN-0030","Extracted from lead diagnostic audit brief"
"MQU-00031","Which technology stack should we choose?","which technology stack should we choose?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","it_consulting","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0031","Structured buyer problem question for service it_consulting"
"MQU-00032","Is our current agency code scalable?","is our current agency code scalable?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","it_consulting","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0032","Structured buyer problem question for service it_consulting"
"MQU-00033","How does advisory work?","how does advisory work?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","it_consulting","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0033","Structured service FAQ for it_consulting"
"MQU-00034","Is this vendor quote realistic?","is this vendor quote realistic?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","vendor_eval","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0034","Structured buyer problem question for service vendor_eval"
"MQU-00035","Are we overpaying for software licenses?","are we overpaying for software licenses?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","vendor_eval","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0035","Structured buyer problem question for service vendor_eval"
"MQU-00036","Do you take commissions from vendors?","do you take commissions from vendors?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","vendor_eval","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0036","Structured service FAQ for vendor_eval"
"MQU-00037","How do we digitize manual operations without disrupting business?","how do we digitize manual operations without disrupting business?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","digital_trans","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0037","Structured buyer problem question for service digital_trans"
"MQU-00038","How long does a transformation roadmap take?","how long does a transformation roadmap take?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","digital_trans","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0038","Structured service FAQ for digital_trans"
"MQU-00039","Why is WhatsApp or Excel failing as our operating system?","why is whatsapp or excel failing as our operating system?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","systems_arch","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0039","Structured buyer problem question for service systems_arch"
"MQU-00040","Why avoid off-the-shelf ERPs?","why avoid off-the-shelf erps?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","systems_arch","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0040","Structured service FAQ for systems_arch"
"MQU-00041","How do we architect our platform for 10x traffic growth?","how do we architect our platform for 10x traffic growth?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","tech_roadmaps","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0041","Structured buyer problem question for service tech_roadmaps"
"MQU-00042","What is included in the roadmap?","what is included in the roadmap?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","tech_roadmaps","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0042","Structured service FAQ for tech_roadmaps"
"MQU-00043","Can we get CTO-level technical leadership on a fractional basis?","can we get cto-level technical leadership on a fractional basis?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","fractional_cto","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0043","Structured buyer problem question for service fractional_cto"
"MQU-00044","How many hours per week?","how many hours per week?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","fractional_cto","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0044","Structured service FAQ for fractional_cto"
"MQU-00045","Why should we choose custom Next.js over template WordPress?","why should we choose custom next.js over template wordpress?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","website","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0045","Structured buyer problem question for service website"
"MQU-00046","Do you build on WordPress templates?","do you build on wordpress templates?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","website","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0046","Structured service FAQ for website"
"MQU-00047","How do we redesign our site without losing organic search traffic?","how do we redesign our site without losing organic search traffic?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","redesign","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0047","Structured buyer problem question for service redesign"
"MQU-00048","Will my rankings drop during redesign?","will my rankings drop during redesign?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","redesign","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0048","Structured service FAQ for redesign"
"MQU-00049","What does a professional clinic or service website need?","what does a professional clinic or service website need?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","small_business","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0049","Structured buyer problem question for service small_business"
"MQU-00050","Can appointment forms be integrated?","can appointment forms be integrated?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","small_business","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0050","Structured service FAQ for small_business"
"MQU-00051","Why are our Google/Meta ad leads expensive?","why are our google/meta ad leads expensive?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","landing_page","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0051","Structured buyer problem question for service landing_page"
"MQU-00052","Do you handle ad spend management?","do you handle ad spend management?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","landing_page","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0052","Structured service FAQ for landing_page"
"MQU-00053","How do we double conversion rates from existing traffic?","how do we double conversion rates from existing traffic?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","conversion_opt","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0053","Structured buyer problem question for service conversion_opt"
"MQU-00054","What results can we expect?","what results can we expect?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","conversion_opt","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0054","Structured service FAQ for conversion_opt"
"MQU-00055","Is the website built SEO-ready from day one?","is the website built seo-ready from day one?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","seo_ready","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0055","Structured buyer problem question for service seo_ready"
"MQU-00056","Does this include monthly SEO?","does this include monthly seo?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","seo_ready","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0056","Structured service FAQ for seo_ready"
"MQU-00057","How long does organic SEO take to yield results?","how long does organic seo take to yield results?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","seo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0057","Structured buyer problem question for service seo"
"MQU-00058","Do you guarantee #1 rankings?","do you guarantee #1 rankings?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","seo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0058","Structured service FAQ for seo"
"MQU-00059","How do we get featured in ChatGPT and Perplexity recommendations?","how do we get featured in chatgpt and perplexity recommendations?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","geo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0059","Structured buyer problem question for service geo"
"MQU-00060","What is GEO?","what is geo?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","geo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0060","Structured service FAQ for geo"
"MQU-00061","How do local clinics attract nearby patients via search?","how do local clinics attract nearby patients via search?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","local_seo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0061","Structured buyer problem question for service local_seo"
"MQU-00062","How fast do local search rankings improve?","how fast do local search rankings improve?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","local_seo","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0062","Structured service FAQ for local_seo"
"MQU-00063","Do you offer social media content design?","do you offer social media content design?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","social_media","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0063","Structured buyer problem question for service social_media"
"MQU-00064","Does this include ad spend management?","does this include ad spend management?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","social_media","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0064","Structured service FAQ for social_media"
"MQU-00065","How can n8n or AI automate our business workflows?","how can n8n or ai automate our business workflows?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","ai_automation","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0065","Structured buyer problem question for service ai_automation"
"MQU-00066","Do we need expensive enterprise licenses?","do we need expensive enterprise licenses?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","ai_automation","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0066","Structured service FAQ for ai_automation"
"MQU-00067","Can website leads automatically trigger WhatsApp notifications and CRM updates?","can website leads automatically trigger whatsapp notifications and crm updates?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","crm_automation","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0067","Structured buyer problem question for service crm_automation"
"MQU-00068","How fast are WhatsApp lead alerts delivered?","how fast are whatsapp lead alerts delivered?","n8n_DataTable","canonicalRegistry.ts","Baseline Inventory","crm_automation","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC",,,,"ENGLISH",false,"DISTINCT","","QI-CLN-0068","Structured service FAQ for crm_automation"
"MQU-00069","कीवर्ड","कीवर्ड","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","Volume","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"HINDI",false,"EXACT_DUPLICATE","MQU-DUP-0006","QI-CLN-0069","Organic search query term from keyword master list"
"MQU-00070","IT consulting services","it consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","14,800","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"NORMALIZED_DUPLICATE","MQU-DUP-0007","QI-CLN-0070","Organic search query term from keyword master list"
"MQU-00071","AI automation agency","ai automation agency","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","12,100","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"NORMALIZED_DUPLICATE","MQU-DUP-0008","QI-CLN-0071","Organic search query term from keyword master list"
"MQU-00072","business IT consulting services","business it consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","9,900","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"NORMALIZED_DUPLICATE","MQU-DUP-0009","QI-CLN-0072","Organic search query term from keyword master list"
"MQU-00073","ERP consultant","erp consultant","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","8,100","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-014","QI-CLN-0073","Organic search query term from keyword master list"
"MQU-00074","AI consulting services","ai consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","5,400","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"NORMALIZED_DUPLICATE","MQU-DUP-0010","QI-CLN-0074","Organic search query term from keyword master list"
"MQU-00075","Business Process Automation","business process automation","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","4,400","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"NORMALIZED_DUPLICATE","MQU-DUP-0011","QI-CLN-0075","Organic search query term from keyword master list"
"MQU-00076","business automation agency","business automation agency","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","1,300","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-017","QI-CLN-0076","Organic search query term from keyword master list"
"MQU-00077","ERP consultant companies","erp consultant companies","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","880","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-014","QI-CLN-0077","Organic search query term from keyword master list"
"MQU-00078","ERP consultant services","erp consultant services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","Baseline Inventory","1,000","REAL_SEARCH_DEMAND","REAL_OBSERVED",,,,"ENGLISH",false,"DISTINCT","NEAR-GRP-018","QI-CLN-0078","Organic search query term from keyword master list"
