record_id,source,source_file,original_query,normalized_query,data_origin,query_type,language,country,search_volume,frequency,source_metric_name,cpc,competition,source_date,category,sub_category,source_row_reference,duplicate_candidate,pii_removed,notes
"ATP-EXT-0012","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai automation services for businesses","ai automation services for businesses","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",20,20,"Volume",,10,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:13",false,false,"General search query"
"ATP-EXT-0013","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business automation services","business automation services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",90,90,"Volume",,48,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:14",false,false,"General search query"
"ATP-EXT-0014","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business process automation software","business process automation software","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",390,390,"Volume",,46,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:15",false,false,"General search query"
"ATP-EXT-0015","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","types of it consulting services","types of it consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",170,170,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:16",false,false,"General search query"
"ATP-EXT-0016","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","social media strategy consultant","social media strategy consultant","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",10,10,"Volume",,5,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:17",false,false,"General search query"
"ATP-EXT-0017","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","web design agency india","web design agency india","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",2900,2900,"Volume",,8,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:18",false,false,"General search query"
"ATP-EXT-0018","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business process automation tools","business process automation tools","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",90,90,"Volume",,9,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:19",false,false,"General search query"
"ATP-EXT-0019","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional ceo meaning","fractional ceo meaning","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",20,20,"Volume",,13,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:20",false,false,"General search query"
"ATP-EXT-0020","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional ceo","fractional ceo","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",70,70,"Volume",,19,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:21",false,false,"General search query"
"ATP-EXT-0021","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business automation","business automation","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",2400,2400,"Volume",,47,"2026-08-24","Commercial, Informational",,"position-tracking-report-2026-08-24.csv:row:22",false,false,"General search query"
"ATP-EXT-0022","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","e commerce website design services","e commerce website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",260,260,"Volume",,58,"2026-08-24","Navigational, Commercial",,"position-tracking-report-2026-08-24.csv:row:23",false,false,"General search query"
"ATP-EXT-0023","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","web design agency","web design agency","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",2400,2400,"Volume",,60,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:24",false,false,"General search query"
"ATP-EXT-0024","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","strategic branding services","strategic branding services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",110,110,"Volume",,14,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:25",false,false,"General search query"
"ATP-EXT-0025","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","healthcare it consulting services","healthcare it consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",70,70,"Volume",,7,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:26",false,false,"General search query"
"ATP-EXT-0026","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","responsive website design services","responsive website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",260,260,"Volume",,27,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:27",false,false,"General search query"
"ATP-EXT-0027","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai automation agency services","ai automation agency services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",30,30,"Volume",,66,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:28",false,false,"General search query"
"ATP-EXT-0028","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","it consulting services company","it consulting services company","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",40,40,"Volume",,8,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:29",false,false,"General search query"
"ATP-EXT-0029","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai automation agency","ai automation agency","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",2400,2400,"Volume",,20,"2026-08-24","Navigational, Commercial",,"position-tracking-report-2026-08-24.csv:row:30",false,false,"General search query"
"ATP-EXT-0030","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","what is a fractional cto","what is a fractional cto","EXTERNAL_SEARCH_DEMAND","QUESTION","ENGLISH","India / Global",10,10,"Volume",,5,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:31",false,false,"General search query"
"ATP-EXT-0031","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","it consulting services near me","it consulting services near me","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",20,20,"Volume",,13,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:32",false,false,"General search query"
"ATP-EXT-0032","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","it consulting services","it consulting services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",2400,2400,"Volume",,31,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:33",false,false,"General search query"
"ATP-EXT-0033","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional cto for startups","fractional cto for startups","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",10,10,"Volume",,5,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:34",false,false,"General search query"
"ATP-EXT-0034","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","generative ai consulting services","generative ai consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",170,170,"Volume",,7,"2026-08-24","Navigational, Commercial",,"position-tracking-report-2026-08-24.csv:row:35",false,false,"General search query"
"ATP-EXT-0035","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","social media marketing strategy for small business","social media marketing strategy for small business","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",40,40,"Volume",,8,"2026-08-24","Commercial, Transactional",,"position-tracking-report-2026-08-24.csv:row:36",false,false,"General search query"
"ATP-EXT-0036","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","b2b social media marketing strategy","b2b social media marketing strategy","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",20,20,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:37",false,false,"General search query"
"ATP-EXT-0037","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","corporate branding services","corporate branding services","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",140,140,"Volume",,17,"2026-08-24","Navigational, Commercial",,"position-tracking-report-2026-08-24.csv:row:38",false,false,"General search query"
"ATP-EXT-0038","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","fractional cto services","fractional cto services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",40,40,"Volume",,15,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:39",false,false,"General search query"
"ATP-EXT-0039","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","what is a fractional ceo","what is a fractional ceo","EXTERNAL_SEARCH_DEMAND","QUESTION","ENGLISH","India / Global",10,10,"Volume",,5,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:40",false,false,"General search query"
"ATP-EXT-0040","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","what is business process automation","what is business process automation","EXTERNAL_SEARCH_DEMAND","QUESTION","ENGLISH","India / Global",260,260,"Volume",,49,"2026-08-24","Informational",,"position-tracking-report-2026-08-24.csv:row:41",false,false,"General search query"
"ATP-EXT-0041","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","strategic it consulting services","strategic it consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",20,20,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:42",false,false,"General search query"
"ATP-EXT-0042","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","ai consulting services for small business","ai consulting services for small business","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",10,10,"Volume",,12,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:43",false,false,"General search query"
"ATP-EXT-0043","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","process automation","process automation","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",1600,1600,"Volume",,42,"2026-08-24","Informational",,"position-tracking-report-2026-08-24.csv:row:44",false,false,"General search query"
"ATP-EXT-0044","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","website design services","website design services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",1900,1900,"Volume",,40,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:45",false,false,"General search query"
"ATP-EXT-0045","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","hire fractional cto","hire fractional cto","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",10,10,"Volume",,13,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:46",false,false,"General search query"
"ATP-EXT-0046","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","branding services","branding services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",720,720,"Volume",,34,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:47",false,false,"General search query"
"ATP-EXT-0047","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","custom website design services","custom website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",170,170,"Volume",,6,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:48",false,false,"General search query"
"ATP-EXT-0048","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business process automation services","business process automation services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",110,110,"Volume",,12,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:49",false,false,"General search query"
"ATP-EXT-0049","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","custom website development","custom website development","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",480,480,"Volume",,21,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:50",false,false,"General search query"
"ATP-EXT-0050","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","branding services for small businesses","branding services for small businesses","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",30,30,"Volume",,14,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:51",false,false,"General search query"
"ATP-EXT-0051","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","workflow automation consultant","workflow automation consultant","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",10,10,"Volume",,30,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:52",false,false,"General search query"
"ATP-EXT-0052","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business process automation consultant","business process automation consultant","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",30,30,"Volume",,5,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:53",false,false,"General search query"
"ATP-EXT-0053","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business operating system","business operating system","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",210,210,"Volume",,17,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:54",false,false,"General search query"
"ATP-EXT-0054","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","it consulting services for small business","it consulting services for small business","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",10,10,"Volume",,13,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:55",false,false,"General search query"
"ATP-EXT-0055","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","what is it consulting services","what is it consulting services","EXTERNAL_SEARCH_DEMAND","QUESTION","ENGLISH","India / Global",50,50,"Volume",,7,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:56",false,false,"General search query"
"ATP-EXT-0056","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","managed it consulting services","managed it consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",10,10,"Volume",,10,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:57",false,false,"General search query"
"ATP-EXT-0057","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","small business branding services","small business branding services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",30,30,"Volume",,45,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:58",false,false,"General search query"
"ATP-EXT-0058","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","social media marketing strategy","social media marketing strategy","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",2400,2400,"Volume",,70,"2026-08-24","Commercial, Informational",,"position-tracking-report-2026-08-24.csv:row:59",false,false,"General search query"
"ATP-EXT-0059","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","business it consulting services","business it consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",1600,1600,"Volume",,52,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:60",false,false,"General search query"
"ATP-EXT-0060","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","wordpress vs custom website","wordpress vs custom website","EXTERNAL_SEARCH_DEMAND","COMPARISON","ENGLISH","India / Global",20,20,"Volume",,39,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:61",false,false,"General search query"
"ATP-EXT-0061","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","professional website design services","professional website design services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",70,70,"Volume",,9,"2026-08-24","Commercial",,"position-tracking-report-2026-08-24.csv:row:62",false,false,"General search query"
"ATP-EXT-0062","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","gen ai consulting services","gen ai consulting services","EXTERNAL_SEARCH_DEMAND","SEARCH_PHRASE","ENGLISH","India / Global",40,40,"Volume",,6,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:63",false,false,"General search query"
"ATP-EXT-0063","External Search Demand Export (Position Tracking)","position-tracking-report-2026-08-24.csv","digital branding services","digital branding services","EXTERNAL_SEARCH_DEMAND","KEYWORD","ENGLISH","India / Global",70,70,"Volume",,31,"2026-08-24","",,"position-tracking-report-2026-08-24.csv:row:64",false,false,"General search query"
